N	mop_num	b_lon	b_lat	p_lon	p_lat	depth	orient	shore_type
7179	MO898	-121.79030	36.81220	-121.79906	36.81038	-15.01	255.45	1
7180	MO899	-121.79100	36.81390	-121.79996	36.81150	-15.00	251.50	1
7181	MO900	-121.79170	36.81560	-121.80106	36.81250	-14.92	247.53	1
7182	MO901	-121.79270	36.81720	-121.80236	36.81368	-15.00	245.53	1
7183	MO902	-121.79360	36.81890	-121.80360	36.81517	-15.01	245.02	1
7184	MO903	-121.79460	36.82050	-121.80474	36.81645	-15.01	243.48	1
7185	MO904	-121.79560	36.82210	-121.80596	36.81788	-15.01	243.03	1
7186	MO905	-121.79660	36.82370	-121.80686	36.81951	-15.00	242.97	1
7187	MO906	-121.79760	36.82530	-121.80872	36.82124	-15.01	245.48	1
7188	MO907	-121.79850	36.82700	-121.80999	36.82328	-15.00	247.98	1
7189	MO908	-121.79930	36.82870	-121.81110	36.82498	-15.00	248.50	1
7190	MO909	-121.80010	36.83030	-121.81202	36.82664	-15.00	249.01	1
7191	MO910	-121.80090	36.83200	-121.81310	36.82816	-15.00	248.53	1
7192	MO911	-121.80180	36.83370	-121.81412	36.82991	-15.01	248.98	1
7193	MO912	-121.80250	36.83540	-121.81542	36.83184	-15.00	251.00	1
7194	MO913	-121.80330	36.83710	-121.81649	36.83336	-15.00	250.49	1
7195	MO914	-121.80400	36.83880	-121.81804	36.83537	-15.00	253.03	1
7196	MO915	-121.80460	36.84050	-121.81943	36.83687	-15.00	252.99	1
7197	MO916	-121.80530	36.84220	-121.82021	36.83797	-15.00	250.48	1
7198	MO917	-121.80610	36.84390	-121.82160	36.83963	-15.00	251.01	1
7199	MO918	-121.80660	36.84560	-121.82220	36.84069	-15.00	248.53	1
7200	MO919	-121.80770	36.84720	-121.82259	36.84164	-15.00	244.99	2
7201	MO920	-121.80870	36.84890	-121.82359	36.84309	-15.01	244.01	1
7202	MO921	-121.80970	36.85050	-121.82437	36.84439	-15.00	242.51	1
7203	SC001	-121.81070	36.85200	-121.82469	36.84491	-14.97	237.65	1
7204	SC002	-121.81200	36.85340	-121.82587	36.84699	-15.00	239.99	1
7205	SC003	-121.81290	36.85500	-121.82728	36.84964	-15.00	245.02	1
7206	SC004	-121.81390	36.85670	-121.82824	36.85111	-15.00	244.03	1
7207	SC005	-121.81490	36.85830	-121.82949	36.85310	-15.00	245.99	1
7208	SC006	-121.81570	36.85990	-121.83047	36.85476	-15.00	246.49	1
7209	SC007	-121.81670	36.86160	-121.83119	36.85619	-15.00	244.99	1
7210	SC008	-121.81760	36.86320	-121.83205	36.85781	-15.00	245.01	1
7211	SC009	-121.81860	36.86480	-121.83297	36.85956	-15.00	245.50	1
7212	SC010	-121.81950	36.86650	-121.83382	36.86140	-15.00	246.00	1
7213	SC011	-121.82040	36.86810	-121.83456	36.86282	-15.00	245.01	1
7214	SC012	-121.82140	36.86980	-121.83533	36.86436	-15.00	243.98	1
7215	SC013	-121.82240	36.87140	-121.83618	36.86591	-15.00	243.53	1
7216	SC014	-121.82340	36.87300	-121.83697	36.86759	-15.00	243.51	1
7217	SC015	-121.82440	36.87460	-121.83794	36.86920	-15.00	243.50	1
7218	SC016	-121.82540	36.87620	-121.83887	36.87059	-15.00	242.50	1
7219	SC017	-121.82650	36.87780	-121.83988	36.87211	-15.00	242.01	1
7220	SC018	-121.82750	36.87940	-121.84117	36.87371	-15.00	242.51	1
7221	SC019	-121.82860	36.88100	-121.84220	36.87534	-15.00	242.51	1
7222	SC020	-121.82960	36.88260	-121.84361	36.87701	-15.00	243.49	1
7223	SC021	-121.83060	36.88420	-121.84467	36.87834	-15.00	242.50	1
7224	SC022	-121.83170	36.88580	-121.84555	36.87941	-15.00	240.02	1
7225	SC023	-121.83280	36.88730	-121.84668	36.88102	-15.00	240.51	1
7226	SC024	-121.83390	36.88890	-121.84813	36.88272	-15.00	241.50	1
7227	SC025	-121.83500	36.89050	-121.84952	36.88446	-15.00	242.52	1
7228	SC026	-121.83600	36.89210	-121.85069	36.88598	-15.00	242.49	1
7229	SC027	-121.83710	36.89370	-121.85183	36.88704	-15.00	240.52	1
7230	SC028	-121.83820	36.89520	-121.85287	36.88857	-15.00	240.53	1
7231	SC029	-121.83930	36.89680	-121.85422	36.89032	-15.00	241.50	1
7232	SC030	-121.84040	36.89840	-121.85566	36.89205	-15.00	242.51	1
7233	SC031	-121.84140	36.90000	-121.85696	36.89380	-15.00	243.52	1
7234	SC032	-121.84240	36.90160	-121.85826	36.89513	-15.00	242.97	1
7235	SC033	-121.84340	36.90320	-121.85923	36.89647	-15.00	242.00	1
7236	SC034	-121.84450	36.90480	-121.86053	36.89799	-15.00	242.02	1
7237	SC035	-121.84550	36.90640	-121.86167	36.89952	-15.00	241.98	1
7238	SC036	-121.84660	36.90800	-121.86249	36.90067	-15.00	240.02	1
7239	SC037	-121.84770	36.90950	-121.86425	36.90276	-15.00	243.01	1
7240	SC038	-121.84860	36.91120	-121.86527	36.90411	-15.00	241.99	1
7241	SC039	-121.84980	36.91270	-121.86589	36.90557	-15.00	241.01	1
7242	SC040	-121.85080	36.91430	-121.86681	36.90749	-15.00	241.99	1
7243	SC041	-121.85190	36.91590	-121.86792	36.90820	-15.00	238.99	1
7244	SC042	-121.85310	36.91740	-121.87048	36.91032	-15.00	243.00	1
7245	SC043	-121.85390	36.91910	-121.87217	36.91245	-15.00	245.52	1
7246	SC044	-121.85490	36.92070	-121.87307	36.91393	-15.00	245.01	1
7247	SC045	-121.85580	36.92240	-121.87377	36.91491	-15.00	242.47	1
7248	SC046	-121.85690	36.92390	-121.87521	36.91611	-15.00	241.98	1
7249	SC047	-121.85790	36.92550	-121.87722	36.91796	-15.00	243.98	1
7250	SC048	-121.85890	36.92720	-121.87828	36.91896	-15.00	242.00	1
7251	SC049	-121.86000	36.92870	-121.87891	36.92015	-15.00	240.51	1
7252	SC050	-121.86110	36.93030	-121.88007	36.92172	-15.00	240.50	1
7253	SC051	-121.86230	36.93190	-121.88029	36.92214	-15.00	235.84	1
7254	SC052	-121.86360	36.93330	-121.88091	36.92379	-15.00	235.50	1
7255	SC053	-121.86480	36.93480	-121.88306	36.92603	-15.00	239.00	1
7256	SC054	-121.86590	36.93640	-121.88410	36.92694	-15.00	236.97	1
7257	SC055	-121.86720	36.93780	-121.88509	36.92779	-15.00	235.01	1
7258	SC056	-121.86850	36.93930	-121.88695	36.92917	-15.00	235.52	1
7259	SC057	-121.86980	36.94080	-121.88857	36.92970	-15.00	233.51	1
7260	SC058	-121.87120	36.94220	-121.88986	36.93034	-15.00	231.51	1
7261	SC059	-121.87260	36.94360	-121.89117	36.93180	-15.00	231.52	1
7262	SC060	-121.87400	36.94500	-121.89253	36.93322	-15.00	231.50	1
7263	SC061	-121.87540	36.94640	-121.89323	36.93423	-15.00	229.51	1
7264	SC062	-121.87700	36.94780	-121.89487	36.93494	-15.00	228.00	1
7265	SC063	-121.87840	36.94910	-121.89735	36.93617	-15.00	229.51	1
