N	mop_num	b_lon	b_lat	p_lon	p_lat	depth	orient	shore_type
3124	VE061	-119.00377	34.06617	-119.00340	34.06299	-10.01	174.49	1
3125	VE062	-119.00485	34.06610	-119.00463	34.06310	-10.01	176.52	1
3126	VE063	-119.00593	34.06605	-119.00587	34.06325	-10.02	178.98	1
3127	VE064	-119.00699	34.06606	-119.00792	34.06327	-10.02	195.44	1
3128	VE065	-119.00791	34.06653	-119.01000	34.06376	-10.02	212.01	1
3129	VE066	-119.00883	34.06701	-119.01093	34.06422	-10.03	211.94	1
3130	VE067	-119.00975	34.06748	-119.01180	34.06471	-10.01	211.51	1
3131	VE068	-119.01068	34.06796	-119.01280	34.06530	-10.01	213.43	1
3132	VE069	-119.01156	34.06847	-119.01384	34.06587	-10.02	216.00	1
3133	VE070	-119.01243	34.06901	-119.01476	34.06640	-10.02	216.48	1
3134	VE071	-119.01330	34.06955	-119.01569	34.06687	-9.99	216.45	1
3135	VE072	-119.01416	34.07009	-119.01662	34.06738	-10.01	216.94	1
3136	VE073	-119.01503	34.07063	-119.01747	34.06779	-10.01	215.44	1
3137	VE074	-119.01593	34.07114	-119.01839	34.06816	-10.00	214.37	1
3138	VE075	-119.01682	34.07165	-119.01933	34.06863	-10.04	214.55	1
3139	VE076	-119.01771	34.07216	-119.02025	34.06910	-10.02	214.51	1
3140	VE077	-119.01861	34.07267	-119.02110	34.06967	-9.99	214.51	1
3141	VE078	-119.01950	34.07318	-119.02196	34.07027	-10.02	215.00	1
3142	VE079	-119.02038	34.07370	-119.02292	34.07086	-10.00	216.53	1
3143	VE080	-119.02125	34.07424	-119.02384	34.07139	-10.02	216.97	1
3144	VE081	-119.02212	34.07478	-119.02470	34.07195	-10.01	217.06	1
3145	VE082	-119.02299	34.07532	-119.02557	34.07248	-10.01	216.96	1
3146	VE083	-119.02385	34.07586	-119.02643	34.07303	-10.02	217.06	1
3147	VE084	-119.02472	34.07640	-119.02728	34.07354	-10.01	216.55	1
3148	VE085	-119.02559	34.07694	-119.02820	34.07407	-10.01	216.99	1
3149	VE086	-119.02646	34.07748	-119.02901	34.07462	-9.99	216.45	1
3150	VE087	-119.02733	34.07802	-119.02986	34.07508	-10.02	215.48	1
3151	VE088	-119.02823	34.07852	-119.03065	34.07550	-9.99	213.57	1
3152	VE089	-119.02913	34.07902	-119.03168	34.07588	-10.01	213.93	1
3153	VE090	-119.03002	34.07953	-119.03254	34.07644	-10.01	214.04	1
3154	VE091	-119.03092	34.08003	-119.03339	34.07695	-10.01	213.59	1
3155	VE092	-119.03182	34.08053	-119.03425	34.07755	-10.02	214.04	1
3156	VE093	-119.03272	34.08103	-119.03519	34.07795	-9.99	213.59	1
3157	VE094	-119.03362	34.08153	-119.03616	34.07841	-10.00	213.99	1
3158	VE095	-119.03452	34.08204	-119.03670	34.07872	-10.02	208.54	1
3159	VE096	-119.03552	34.08239	-119.03725	34.07901	-10.00	202.97	1
3160	VE097	-119.03652	34.08273	-119.03819	34.07940	-10.02	202.56	1
3161	VE098	-119.03752	34.08307	-119.03915	34.07980	-10.01	202.43	1
3162	VE099	-119.03853	34.08341	-119.04012	34.08006	-10.01	201.46	1
3163	VE100	-119.03955	34.08372	-119.04096	34.08032	-10.02	198.96	1
3164	VE101	-119.04058	34.08398	-119.04182	34.08052	-10.00	196.53	1
3165	VE102	-119.04162	34.08424	-119.04287	34.08073	-10.00	196.43	1
3166	VE103	-119.04266	34.08449	-119.04362	34.08076	-10.00	192.03	1
3167	VE104	-119.04373	34.08461	-119.04432	34.08092	-10.00	187.54	1
3168	VE105	-119.04481	34.08473	-119.04544	34.08101	-10.00	187.98	1
3169	VE106	-119.04588	34.08486	-119.04660	34.08112	-10.01	189.06	1
3170	VE107	-119.04694	34.08502	-119.04755	34.08121	-10.00	187.55	2
3171	VE108	-119.04801	34.08519	-119.04783	34.08123	-10.01	177.84	1
3172	VE109	-119.04905	34.08496	-119.04810	34.08126	-10.00	167.99	2
3173	VE110	-119.05009	34.08470	-119.04897	34.08136	-10.01	164.48	1
3174	VE111	-119.05113	34.08447	-119.05019	34.08143	-10.01	165.64	1
3175	VE112	-119.05218	34.08424	-119.05247	34.08142	-10.00	184.87	1
3176	VE113	-119.05315	34.08463	-119.05485	34.08161	-10.00	205.00	1
3177	VE114	-119.05413	34.08502	-119.05583	34.08178	-10.00	203.49	1
3178	VE115	-119.05514	34.08535	-119.05638	34.08186	-10.01	196.40	1
3179	VE116	-119.05619	34.08553	-119.05701	34.08200	-10.01	190.89	1
3180	VE117	-119.05726	34.08569	-119.05782	34.08221	-10.00	187.59	2
3181	VE118	-119.05834	34.08577	-119.05834	34.08236	-10.00	180.00	2
3182	VE119	-119.05939	34.08569	-119.05854	34.08240	-10.00	167.92	1
3183	VE120	-119.06041	34.08539	-119.05984	34.08268	-10.03	170.12	2
3184	VE121	-119.06136	34.08539	-119.06261	34.08278	-10.02	201.64	1
3185	VE122	-119.06217	34.08599	-119.06461	34.08366	-10.02	220.94	1
3186	VE123	-119.06300	34.08657	-119.06535	34.08394	-10.01	216.50	1
3187	VE124	-119.06390	34.08706	-119.06610	34.08431	-10.02	213.53	1
3188	VE125	-119.06481	34.08756	-119.06701	34.08475	-10.02	212.96	1
3189	VE126	-119.06571	34.08805	-119.06794	34.08526	-10.01	213.50	1
3190	VE127	-119.06662	34.08855	-119.06900	34.08563	-10.01	214.02	1
3191	VE128	-119.06752	34.08905	-119.06992	34.08604	-10.02	213.44	1
3192	VE129	-119.06843	34.08954	-119.07082	34.08648	-10.00	212.90	1
3193	VE130	-119.06933	34.09004	-119.07175	34.08701	-10.01	213.48	1
3194	VE131	-119.07024	34.09053	-119.07257	34.08731	-10.02	210.93	1
3195	VE132	-119.07118	34.09097	-119.07333	34.08756	-9.97	207.57	1
3196	VE133	-119.07216	34.09137	-119.07428	34.08777	-10.01	206.00	1
3197	VE134	-119.07313	34.09177	-119.07536	34.08805	-10.02	206.40	1
3198	VE135	-119.07410	34.09217	-119.07639	34.08836	-10.01	206.46	1
3199	VE136	-119.07507	34.09257	-119.07750	34.08854	-10.00	206.54	1
3200	VE137	-119.07604	34.09297	-119.07856	34.08870	-10.01	206.05	1
3201	VE138	-119.07701	34.09337	-119.07972	34.08887	-10.00	206.51	1
3202	VE139	-119.07798	34.09377	-119.08085	34.08911	-10.00	207.02	1
3203	VE140	-119.07895	34.09418	-119.08186	34.08945	-10.01	207.00	1
3204	VE141	-119.07992	34.09458	-119.08282	34.08976	-10.00	206.49	1
3205	VE142	-119.08088	34.09499	-119.08415	34.09057	-10.00	211.50	1
3206	VE143	-119.08177	34.09551	-119.08557	34.09126	-10.03	216.52	1
3207	VE144	-119.08262	34.09606	-119.08670	34.09174	-9.99	218.03	1
3208	VE145	-119.08348	34.09661	-119.08736	34.09195	-9.99	214.59	2
3209	VE146	-119.08438	34.09710	-119.08753	34.09200	-10.00	207.09	1
3210	VE147	-119.08538	34.09745	-119.08787	34.09208	-10.01	201.01	2
3211	VE148	-119.08638	34.09780	-119.08799	34.09211	-10.00	193.19	2
3212	VE149	-119.08738	34.09815	-119.08799	34.09211	-10.00	184.78	1
3213	VE150	-119.08842	34.09793	-119.08799	34.09211	-10.00	176.50	2
3214	VE151	-119.08946	34.09777	-119.09035	34.09341	-10.03	189.59	2
3215	VE152	-119.09049	34.09806	-119.09125	34.09624	-9.99	199.08	1
3216	VE153	-119.09152	34.09835	-119.09231	34.09629	-10.06	197.62	1
3217	VE154	-119.09255	34.09861	-119.09320	34.09645	-10.06	193.99	1
3218	VE155	-119.09361	34.09879	-119.09414	34.09655	-9.97	191.09	1
3219	VE156	-119.09468	34.09896	-119.09510	34.09677	-10.36	189.02	1
3220	VE157	-119.09575	34.09905	-119.09593	34.09684	-10.20	183.86	1
3221	VE158	-119.09684	34.09907	-119.09697	34.09728	-10.00	183.44	1
3222	VE159	-119.09792	34.09910	-119.09792	34.09758	-10.15	180.00	1
3223	VE160	-119.09897	34.09904	-119.09853	34.09778	-10.05	163.87	2
3224	VE161	-119.09990	34.09857	-119.09958	34.09794	-10.05	157.19	2
3225	VE162	-119.10082	34.09810	-119.10058	34.09772	-10.05	152.39	2
3226	VE163	-119.10173	34.09761	-119.10159	34.09742	-9.92	148.61	2
3227	VE164	-119.10259	34.09707	-119.10234	34.09682	-10.15	140.37	2
3228	VE165	-119.10334	34.09642	-119.10313	34.09625	-10.01	134.35	2
3229	VE166	-119.10424	34.09592	-119.10384	34.09550	-10.00	141.74	2
3230	VE167	-119.10516	34.09544	-119.10486	34.09497	-10.03	152.14	2
3231	VE168	-119.10612	34.09505	-119.10561	34.09436	-10.18	148.53	2
3232	VE169	-119.10719	34.09491	-119.10656	34.09193	-10.00	170.07	2
3233	VE170	-119.10826	34.09476	-119.10767	34.09150	-9.99	171.48	1
3234	VE171	-119.10933	34.09465	-119.10937	34.09116	-10.00	180.54	1
3235	VE172	-119.11040	34.09478	-119.11108	34.09103	-10.01	188.54	1
3236	VE173	-119.11147	34.09491	-119.11212	34.09111	-10.01	188.06	1
3237	VE174	-119.11254	34.09504	-119.11349	34.09115	-10.01	191.43	1
3238	VE175	-119.11359	34.09528	-119.11501	34.09130	-10.02	196.46	1
3239	VE176	-119.11462	34.09555	-119.11618	34.09144	-10.01	197.45	1
3240	VE177	-119.11565	34.09582	-119.11723	34.09167	-10.01	197.50	1
3241	VE178	-119.11669	34.09609	-119.11832	34.09180	-10.00	197.47	1
3242	VE179	-119.11772	34.09637	-119.11945	34.09182	-10.00	197.48	1
3243	VE180	-119.11875	34.09664	-119.12055	34.09191	-10.00	197.49	1
3244	VE181	-119.11979	34.09691	-119.12168	34.09195	-10.00	197.51	1
3245	VE182	-119.12082	34.09718	-119.12281	34.09195	-10.01	197.49	1
3246	VE183	-119.12185	34.09746	-119.12398	34.09204	-10.00	198.03	1
3247	VE184	-119.12288	34.09774	-119.12505	34.09236	-10.00	198.47	1
3248	VE185	-119.12391	34.09803	-119.12601	34.09281	-10.00	198.43	1
3249	VE186	-119.12494	34.09831	-119.12701	34.09320	-10.01	198.54	1
3250	VE187	-119.12596	34.09860	-119.12803	34.09362	-10.01	198.99	1
3251	VE188	-119.12699	34.09888	-119.12901	34.09388	-10.00	198.50	1
3252	VE189	-119.12802	34.09917	-119.13066	34.09426	-10.01	204.00	1
3253	VE190	-119.12896	34.09961	-119.13218	34.09499	-10.01	209.99	1
3254	VE191	-119.12989	34.10007	-119.13332	34.09544	-10.02	211.53	1
3255	VE192	-119.13081	34.10054	-119.13428	34.09586	-10.01	211.55	1
3256	VE193	-119.13174	34.10101	-119.13524	34.09637	-10.01	211.99	1
3257	VE194	-119.13265	34.10150	-119.13647	34.09690	-10.01	214.52	1
3258	VE195	-119.13353	34.10203	-119.13760	34.09731	-10.00	215.53	1
3259	VE196	-119.13441	34.10255	-119.13851	34.09778	-10.01	215.44	1
3260	VE197	-119.13530	34.10307	-119.13945	34.09817	-10.00	215.04	1
3261	VE198	-119.13618	34.10359	-119.14046	34.09861	-10.00	215.44	1
3262	VE199	-119.13707	34.10411	-119.14128	34.09923	-10.00	215.54	1
3263	VE200	-119.13795	34.10463	-119.14211	34.09980	-10.00	215.50	1
3264	VE201	-119.13883	34.10515	-119.14315	34.10023	-10.01	216.02	1
3265	VE202	-119.13971	34.10568	-119.14410	34.10068	-10.00	216.02	1
3266	VE203	-119.14059	34.10621	-119.14513	34.10103	-10.01	215.97	1
3267	VE204	-119.14148	34.10673	-119.14605	34.10152	-10.00	215.99	1
3268	VE205	-119.14236	34.10726	-119.14687	34.10212	-10.00	216.00	1
3269	VE206	-119.14324	34.10778	-119.14770	34.10271	-10.00	216.07	1
3270	VE207	-119.14412	34.10831	-119.14903	34.10337	-10.00	219.45	1
3271	VE208	-119.14492	34.10891	-119.15034	34.10409	-10.00	222.96	1
3272	VE209	-119.14571	34.10953	-119.15121	34.10465	-10.00	223.02	1
3273	VE210	-119.14650	34.11014	-119.15215	34.10513	-10.01	223.04	1
3274	VE211	-119.14730	34.11076	-119.15290	34.10579	-10.00	223.01	1
3275	VE212	-119.14809	34.11137	-119.15347	34.10624	-10.00	220.97	1
3276	VE213	-119.14893	34.11194	-119.15400	34.10667	-10.00	218.54	1
3277	VE214	-119.14979	34.11249	-119.15469	34.10721	-10.01	217.54	1
3278	VE215	-119.15065	34.11303	-119.15558	34.10771	-10.00	217.50	1
3279	VE216	-119.15152	34.11358	-119.15639	34.10823	-10.01	217.01	1
3280	VE217	-119.15238	34.11412	-119.15735	34.10876	-10.00	217.51	1
3281	VE218	-119.15324	34.11467	-119.15811	34.10931	-10.01	216.95	1
3282	VE219	-119.15412	34.11520	-119.15874	34.10994	-9.99	216.03	1
3283	VE220	-119.15500	34.11573	-119.15960	34.11058	-10.01	216.48	1
3284	VE221	-119.15587	34.11626	-119.16035	34.11124	-10.00	216.46	1
3285	VE222	-119.15675	34.11679	-119.16109	34.11184	-10.00	215.98	1
3286	VE223	-119.15763	34.11732	-119.16167	34.11280	-9.96	216.50	1
3287	VE224	-119.15850	34.11785	-119.16234	34.11348	-10.01	216.04	1
3288	VE225	-119.15938	34.11838	-119.16312	34.11412	-10.00	216.01	1
3289	VE226	-119.16026	34.11891	-119.16402	34.11470	-10.00	216.48	1
3290	VE227	-119.16111	34.11946	-119.16512	34.11544	-10.00	219.55	1
3291	VE228	-119.16193	34.12005	-119.16608	34.11609	-10.01	220.95	1
3292	VE229	-119.16275	34.12064	-119.16702	34.11657	-10.00	220.98	1
3293	VE230	-119.16357	34.12123	-119.16796	34.11705	-10.00	221.01	1
3294	VE231	-119.16439	34.12182	-119.16883	34.11759	-10.00	220.99	1
3295	VE232	-119.16521	34.12241	-119.16973	34.11810	-10.00	220.97	1
3296	VE233	-119.16603	34.12300	-119.17055	34.11863	-10.00	220.57	1
3297	VE234	-119.16686	34.12358	-119.17130	34.11928	-10.00	220.52	1
3298	VE235	-119.16768	34.12417	-119.17207	34.11992	-10.00	220.53	1
3299	VE236	-119.16851	34.12475	-119.17285	34.12054	-10.00	220.48	1
3300	VE237	-119.16933	34.12534	-119.17354	34.12133	-10.01	221.00	1
3301	VE238	-119.17016	34.12592	-119.17416	34.12204	-10.00	220.48	1
3302	VE239	-119.17098	34.12651	-119.17484	34.12276	-10.01	220.44	1
3303	VE240	-119.17181	34.12709	-119.17570	34.12332	-10.02	220.50	1
3304	VE241	-119.17263	34.12767	-119.17652	34.12397	-10.00	221.03	1
3305	VE242	-119.17346	34.12826	-119.17748	34.12463	-10.01	222.51	1
3306	VE243	-119.17423	34.12889	-119.17879	34.12512	-10.00	225.04	1
3307	VE244	-119.17499	34.12954	-119.17982	34.12561	-10.00	225.49	1
3308	VE245	-119.17575	34.13018	-119.18064	34.12613	-10.01	224.99	1
3309	VE246	-119.17651	34.13082	-119.18144	34.12674	-10.01	225.01	1
3310	VE247	-119.17727	34.13146	-119.18232	34.12727	-10.00	224.93	1
3311	VE248	-119.17805	34.13209	-119.18301	34.12769	-10.00	223.02	1
3312	VE249	-119.17887	34.13268	-119.18366	34.12812	-10.00	221.01	1
3313	VE250	-119.17969	34.13327	-119.18440	34.12878	-10.00	220.97	1
3314	VE251	-119.18051	34.13386	-119.18522	34.12938	-10.00	221.03	1
3315	VE252	-119.18133	34.13445	-119.18608	34.12984	-10.00	220.46	1
3316	VE253	-119.18216	34.13503	-119.18684	34.13033	-10.01	219.50	1
3317	VE254	-119.18300	34.13560	-119.18766	34.13092	-10.00	219.50	1
3318	VE255	-119.18384	34.13617	-119.18844	34.13155	-10.00	219.49	1
3319	VE256	-119.18468	34.13674	-119.18909	34.13231	-9.98	219.49	2
3320	VE257	-119.18552	34.13731	-119.18941	34.13288	-10.01	216.01	2
3321	VE258	-119.18643	34.13779	-119.18970	34.13311	-10.01	210.04	1
3322	VE259	-119.18738	34.13821	-119.19047	34.13340	-10.02	208.00	1
3323	VE260	-119.18834	34.13864	-119.19167	34.13346	-10.01	208.02	1
3324	VE261	-119.18930	34.13907	-119.19267	34.13382	-10.00	207.98	1
3325	VE262	-119.19025	34.13949	-119.19364	34.13420	-10.01	207.94	1
3326	VE263	-119.19121	34.13992	-119.19463	34.13470	-10.00	208.47	1
3327	VE264	-119.19216	34.14034	-119.19553	34.13510	-10.00	208.03	1
3328	VE265	-119.19312	34.14077	-119.19640	34.13556	-10.00	207.52	1
3329	VE266	-119.19409	34.14117	-119.19721	34.13599	-10.00	206.50	1
3330	VE267	-119.19506	34.14157	-119.19815	34.13644	-10.00	206.50	1
3331	VE268	-119.19604	34.14196	-119.19905	34.13684	-10.01	205.95	1
3332	VE269	-119.19701	34.14236	-119.20014	34.13704	-10.00	205.96	1
3333	VE270	-119.19799	34.14275	-119.20122	34.13728	-10.00	206.05	1
3334	VE271	-119.19896	34.14314	-119.20218	34.13768	-10.00	206.02	1
3335	VE272	-119.19993	34.14354	-119.20321	34.13797	-10.01	205.98	2
3336	VE273	-119.20091	34.14393	-119.20417	34.13815	-9.99	205.02	2
3337	VE274	-119.20188	34.14433	-119.20458	34.13821	-10.01	200.06	2
3338	VE275	-119.20291	34.14458	-119.20458	34.13821	-10.01	192.24	2
3339	VE276	-119.20399	34.14469	-119.20501	34.13824	-10.01	187.46	2
3340	VE277	-119.20506	34.14479	-119.20554	34.13831	-10.00	183.51	2
3341	VE278	-119.20614	34.14483	-119.20561	34.13831	-10.01	176.15	1
3342	VE279	-119.20721	34.14468	-119.20599	34.13834	-10.00	170.95	2
3343	VE280	-119.20827	34.14452	-119.20627	34.13837	-10.00	164.93	2
3344	VE281	-119.20934	34.14437	-119.20627	34.13837	-10.00	157.05	2
3345	VE282	-119.21022	34.14385	-119.20665	34.13841	-10.00	151.49	0
3346	VE283	-119.21114	34.14339	-119.20825	34.13858	-10.01	153.56	0
3347	VE284	-119.21214	34.14305	-119.21160	34.13841	-10.00	174.50	0
3348	VE285	-119.21318	34.14320	-119.21320	34.14319	-10.10	238.86	0
3349	VE286	-119.21423	34.14344	-119.21423	34.14344	-11.11	999.99	0
3350	VE287	-119.21528	34.14367	-119.21523	34.14325	-10.00	174.37	0
3351	VE288	-119.21632	34.14391	-119.21751	34.14272	-9.74	219.61	0
3352	VE289	-119.21653	34.14475	-119.22254	34.14365	-10.00	257.53	1
3353	VE290	-119.21678	34.14563	-119.22307	34.14424	-10.00	255.05	1
3354	VE291	-119.21707	34.14650	-119.22327	34.14449	-10.01	248.61	1
3355	VE292	-119.21755	34.14730	-119.22353	34.14489	-10.01	244.04	1
3356	VE293	-119.21804	34.14811	-119.22409	34.14556	-10.00	243.01	1
3357	VE294	-119.21853	34.14891	-119.22481	34.14643	-10.01	244.49	1
3358	VE295	-119.21896	34.14974	-119.22567	34.14738	-10.00	246.98	1
3359	VE296	-119.21939	34.15057	-119.22632	34.14808	-10.00	246.53	2
3360	VE297	-119.21981	34.15140	-119.22652	34.14843	-10.00	241.86	2
3361	VE298	-119.22033	34.15218	-119.22652	34.14843	-10.00	233.79	1
3362	VE299	-119.22107	34.15284	-119.22684	34.14869	-10.00	229.01	2
3363	VE300	-119.22181	34.15350	-119.22733	34.14931	-10.00	227.47	2
3364	VE301	-119.22255	34.15416	-119.22797	34.15005	-10.00	227.50	1
3365	VE302	-119.22328	34.15482	-119.22868	34.15036	-10.00	225.06	2
3366	VE303	-119.22402	34.15548	-119.22878	34.15042	-10.00	217.90	1
3367	VE304	-119.22497	34.15592	-119.22913	34.15062	-10.01	213.01	2
3368	VE305	-119.22589	34.15638	-119.23042	34.15166	-10.04	218.46	2
3369	VE306	-119.22667	34.15700	-119.23004	34.15416	-10.12	224.48	0
3370	VE307	-119.22746	34.15763	-119.23058	34.15496	-10.02	224.04	0
3371	VE308	-119.22822	34.15827	-119.23338	34.15436	-10.01	227.52	0
3372	VE309	-119.22897	34.15892	-119.23433	34.15540	-10.00	231.56	0
3373	VE310	-119.22951	34.15969	-119.23560	34.15750	-9.71	246.51	0
3374	VE311	-119.22983	34.16054	-119.23547	34.15942	-10.02	256.51	0
3375	VE312	-119.23001	34.16143	-119.23655	34.16038	-10.00	259.02	1
3376	VE313	-119.23024	34.16231	-119.23698	34.16092	-10.01	256.01	1
3377	VE314	-119.23054	34.16318	-119.23735	34.16151	-10.00	253.49	1
3378	VE315	-119.23085	34.16404	-119.23766	34.16221	-10.01	252.01	1
3379	VE316	-119.23121	34.16489	-119.23795	34.16264	-10.00	248.03	1
3380	VE317	-119.23166	34.16571	-119.23825	34.16323	-10.00	245.54	1
3381	VE318	-119.23211	34.16653	-119.23860	34.16408	-10.01	245.48	1
3382	VE319	-119.23256	34.16735	-119.23906	34.16490	-10.00	245.51	1
3383	VE320	-119.23301	34.16817	-119.23946	34.16574	-10.01	245.52	1
3384	VE321	-119.23346	34.16899	-119.23990	34.16662	-10.01	246.02	1
3385	VE322	-119.23391	34.16981	-119.24033	34.16750	-9.99	246.50	1
3386	VE323	-119.23433	34.17064	-119.24075	34.16838	-10.01	246.95	1
3387	VE324	-119.23476	34.17147	-119.24117	34.16922	-10.00	247.01	1
3388	VE325	-119.23518	34.17230	-119.24160	34.17005	-10.00	247.04	1
3389	VE326	-119.23561	34.17313	-119.24213	34.17084	-10.00	247.00	1
3390	VE327	-119.23603	34.17396	-119.24261	34.17165	-10.00	247.01	1
3391	VE328	-119.23646	34.17479	-119.24306	34.17247	-10.00	246.98	1
3392	VE329	-119.23688	34.17562	-119.24349	34.17318	-10.01	245.95	1
3393	VE330	-119.23734	34.17644	-119.24390	34.17391	-10.01	245.01	1
3394	VE331	-119.23779	34.17725	-119.24439	34.17476	-10.00	245.49	1
3395	VE332	-119.23825	34.17807	-119.24484	34.17553	-10.00	245.02	1
3396	VE333	-119.23870	34.17889	-119.24534	34.17639	-10.01	245.53	1
3397	VE334	-119.23916	34.17971	-119.24575	34.17717	-10.00	245.02	1
3398	VE335	-119.23961	34.18053	-119.24625	34.17803	-10.00	245.53	1
3399	VE336	-119.24007	34.18134	-119.24674	34.17876	-10.01	244.94	1
3400	VE337	-119.24053	34.18216	-119.24712	34.17962	-10.01	245.02	1
3401	VE338	-119.24098	34.18298	-119.24761	34.18048	-10.00	245.50	1
3402	VE339	-119.24144	34.18380	-119.24799	34.18127	-10.02	244.97	1
3403	VE340	-119.24189	34.18462	-119.24850	34.18230	-10.00	247.01	1
3404	VE341	-119.24229	34.18545	-119.24892	34.18329	-10.00	248.50	1
3405	VE342	-119.24270	34.18629	-119.24929	34.18409	-10.00	248.02	1
3406	VE343	-119.24310	34.18713	-119.24960	34.18496	-10.01	248.02	1
3407	VE344	-119.24350	34.18796	-119.24999	34.18585	-10.01	248.54	1
3408	VE345	-119.24391	34.18880	-119.25039	34.18669	-10.00	248.51	1
3409	VE346	-119.24431	34.18964	-119.25087	34.18750	-10.01	248.48	1
3410	VE347	-119.24471	34.19047	-119.25122	34.18824	-10.00	247.51	1
3411	VE348	-119.24513	34.19131	-119.25162	34.18909	-10.00	247.53	1
3412	VE349	-119.24555	34.19214	-119.25202	34.18987	-10.01	247.02	1
3413	VE350	-119.24598	34.19296	-119.25242	34.19070	-10.01	247.01	1
3414	VE351	-119.24641	34.19379	-119.25282	34.19149	-10.01	246.55	1
3415	VE352	-119.24684	34.19462	-119.25327	34.19236	-10.02	246.98	1
3416	VE353	-119.24726	34.19545	-119.25375	34.19317	-10.02	246.99	1
3417	VE354	-119.24769	34.19628	-119.25416	34.19395	-10.01	246.47	1
3418	VE355	-119.24812	34.19711	-119.25461	34.19478	-10.00	246.54	1
3419	VE356	-119.24856	34.19793	-119.25497	34.19546	-10.01	245.02	1
3420	VE357	-119.24903	34.19874	-119.25533	34.19625	-10.01	244.46	1
3421	VE358	-119.24950	34.19956	-119.25583	34.19712	-10.00	245.01	1
3422	VE359	-119.24996	34.20037	-119.25630	34.19787	-10.01	244.51	1
3423	VE360	-119.25043	34.20118	-119.25681	34.19867	-10.01	244.56	1
3424	VE361	-119.25090	34.20200	-119.25735	34.19952	-10.00	245.07	1
3425	VE362	-119.25136	34.20281	-119.25784	34.20025	-10.01	244.47	1
3426	VE363	-119.25183	34.20362	-119.25846	34.20101	-10.00	244.55	1
3427	VE364	-119.25230	34.20444	-119.25900	34.20180	-10.00	244.53	1
3428	VE365	-119.25277	34.20525	-119.25955	34.20264	-10.00	245.04	1
3429	VE366	-119.25323	34.20606	-119.25995	34.20341	-10.00	244.51	1
3430	VE367	-119.25370	34.20688	-119.26045	34.20427	-10.00	244.94	1
3431	VE368	-119.25415	34.20770	-119.26102	34.20523	-10.00	246.50	1
3432	VE369	-119.25457	34.20853	-119.26155	34.20614	-10.01	247.51	1
3433	VE370	-119.25499	34.20936	-119.26208	34.20693	-10.01	247.49	1
3434	VE371	-119.25541	34.21019	-119.26254	34.20775	-10.01	247.52	1
3435	VE372	-119.25582	34.21103	-119.26299	34.20858	-10.01	247.55	1
3436	VE373	-119.25624	34.21186	-119.26348	34.20938	-10.00	247.50	1
3437	VE374	-119.25666	34.21269	-119.26411	34.21032	-10.01	248.96	1
3438	VE375	-119.25702	34.21354	-119.26472	34.21122	-10.00	249.98	1
3439	VE376	-119.25739	34.21439	-119.26538	34.21205	-10.00	250.50	1
3440	VE377	-119.25775	34.21523	-119.26593	34.21276	-10.00	249.94	1
3441	VE378	-119.25812	34.21608	-119.26659	34.21353	-10.00	250.00	1
3442	VE379	-119.25849	34.21693	-119.26735	34.21434	-10.00	250.53	1
3443	VE380	-119.25885	34.21778	-119.26812	34.21507	-10.00	250.53	1
3444	VE381	-119.25922	34.21863	-119.26896	34.21578	-10.01	250.51	1
3445	VE382	-119.25958	34.21948	-119.26989	34.21646	-10.00	250.49	1
3446	VE383	-119.25995	34.22033	-119.27081	34.21715	-10.00	250.50	1
3447	VE384	-119.26031	34.22118	-119.27171	34.21784	-10.01	250.49	1
3448	VE385	-119.26067	34.22203	-119.27265	34.21852	-10.00	250.49	1
3449	VE386	-119.26103	34.22288	-119.27412	34.21905	-10.00	250.51	1
3450	VE387	-119.26139	34.22373	-119.27541	34.21962	-10.01	250.48	1
3451	VE388	-119.26175	34.22458	-119.27631	34.22031	-10.01	250.47	1
3452	VE389	-119.26211	34.22543	-119.27686	34.22111	-10.00	250.50	1
3453	VE390	-119.26247	34.22628	-119.27719	34.22197	-10.00	250.50	1
3454	VE391	-119.26283	34.22713	-119.27747	34.22285	-10.00	250.53	1
3455	VE392	-119.26319	34.22798	-119.27767	34.22374	-10.00	250.50	1
3456	VE393	-119.26355	34.22883	-119.27783	34.22465	-10.00	250.51	1
3457	VE394	-119.26391	34.22968	-119.27667	34.22625	-10.22	251.99	1
3458	VE395	-119.26423	34.23054	-119.27640	34.22766	-10.00	254.03	1
3459	VE396	-119.26451	34.23141	-119.27595	34.22888	-10.00	255.02	1
3460	VE397	-119.26479	34.23228	-119.27584	34.22984	-10.09	255.05	1
3461	VE398	-119.26507	34.23315	-119.27834	34.23031	-10.36	255.49	1
3462	VE399	-119.26535	34.23402	-119.27834	34.23124	-10.06	255.49	1
3463	VE400	-119.26562	34.23490	-119.27856	34.23214	-10.00	255.53	1
3464	VE401	-119.26590	34.23577	-119.27902	34.23347	-10.00	258.03	1
3465	VE402	-119.26607	34.23666	-119.27782	34.23529	-10.00	261.97	1
3466	VE403	-119.26620	34.23755	-119.27803	34.23635	-10.00	263.00	1
3467	VE404	-119.26633	34.23845	-119.27819	34.23724	-10.00	262.96	2
3468	VE405	-119.26646	34.23934	-119.27789	34.23818	-10.00	263.00	2
3469	VE406	-119.26660	34.24024	-119.27760	34.23888	-10.00	261.49	2
3470	VE407	-119.26676	34.24112	-119.27671	34.23921	-10.00	256.93	2
3471	VE408	-119.26706	34.24199	-119.27671	34.23921	-10.00	250.79	2
3472	VE409	-119.26736	34.24286	-119.27671	34.23921	-10.00	244.72	2
